_id,eqb,Corpo idrico,Cod. Stazione,Lat.N,Long.E,RQE corpo idrico,Stato EQB nel corpo idrico,Anno di Campionamento
1,Fitoplancton,ITF_015_CW-Piana Volturno1,IT15-MD005,41.113508,13.861111,0.82,Buono,2019.0
2,Fitoplancton,ITF_015_CW-Piana Volturno3,IT15-VR001,40.995662,13.941193,0.65,Buono,2019.0
3,Fitoplancton,ITF_015_CW-Piana Volturno,IT15-LP001,40.924601,14.004626,0.63,Buono,2019.0
4,Fitoplancton,ITF_015_CW-ISCHIA 3,IT15-CS023,40.755097,13.929821,0.5,Buono,2019.0
5,Fitoplancton,ITF_015_CW-ISCHIA4,IT15-CA001,40.739529,13.963688,0.51,Buono,2019.0
6,Fitoplancton,ITF_015_CW-Litorale Flegreo,IT15-CM014,40.853605,14.035927,1.33,Sufficiente,2019.0
7,Fitoplancton,ITF_015_CW-Litorale Flegreo1,IT15-ML029,40.79591,14.033661,0.77,Buono,2019.0
8,Fitoplancton,ITF_015_CW-Litorale Flegreo2,IT15-MI001,40.780423,14.069722,0.63,Buono,2019.0
9,Fitoplancton,ITF_015_CW-Litorale Flegreo3,IT15-MS032,40.8026,14.092554,0.74,Buono,2019.0
10,Fitoplancton,ITF_015_CW-Litorale Flegreo4,IT15-LC035,40.824633,14.088878,0.72,Buono,2019.0
11,Fitoplancton,ITF_015_CW-Litorale Flegreo6,IT15-PZ001,40.813651,14.129723,0.74,Buono,2019.0
12,Fitoplancton,ITF_015_CW-Litorale Flegreo7,IT15-BG038,40.808893,14.155769,0.76,Buono,2019.0
13,Fitoplancton,ITF_015_CW-Golfo di Napoli,IT15-NA005,40.822526,14.253334,1.5,Sufficiente,2019.0
14,Fitoplancton,ITF_015_CW-Piana Sarno,IT15-FS011,40.721723,14.460974,0.86,Buono,2019.0
15,Fitoplancton,ITF_015_CW-Posillipo,IT15-RV038,40.79711,14.213082,0.62,Buono,2019.0
16,Fitoplancton,ITF_015_CW-Vesuvio,IT15-TG050,40.765435,14.378727,0.75,Buono,2019.0
17,Fitoplancton,ITF_015_CW-Penisola Sorrentina,IT15-PG060,40.673633,14.427017,0.98,Buono,2019.0
18,Macroinvertebrati bentonici,ITF_015_CW-Piana Volturno1,IT15-MD004,41.116216,13.869436,0.64,Buono,2019.0
19,Macroinvertebrati bentonici,ITF_015_CW-Piana Volturno1,IT15-MD006,41.103715,13.843268,,,
