Date,Station,Water_Temp_C,Dissolved_Oxygen_mgL,Discharge_m3s,E_Coli_CFU
2026-05-28 03:08:17.673166,19F/01H - Rio Mondego (Açude de Coimbra),14.6,7.08,36.1,144.0
2026-05-29 03:08:17.673166,19F/01H - Rio Mondego (Açude de Coimbra),16.9,6.64,34.0,155.0
2026-05-30 03:08:17.673166,19F/01H - Rio Mondego (Açude de Coimbra),15.9,6.95,33.5,352.0
2026-05-31 03:08:17.673166,19F/01H - Rio Mondego (Açude de Coimbra),15.5,7.16,35.0,127.0
2026-06-01 03:08:17.673166,19F/01H - Rio Mondego (Açude de Coimbra),16.5,6.49,34.7,140.0
2026-06-02 03:08:17.673166,19F/01H - Rio Mondego (Açude de Coimbra),15.7,6.97,37.1,375.0
2026-06-03 03:08:17.673166,19F/01H - Rio Mondego (Açude de Coimbra),16.4,6.62,44.2,175.0
2026-06-04 03:08:17.673166,19F/01H - Rio Mondego (Açude de Coimbra),17.0,6.92,42.6,143.0
2026-06-05 03:08:17.673166,19F/01H - Rio Mondego (Açude de Coimbra),18.1,6.51,41.6,147.0
2026-06-06 03:08:17.673166,19F/01H - Rio Mondego (Açude de Coimbra),17.5,6.25,33.6,227.0
2026-06-07 03:08:17.673166,19F/01H - Rio Mondego (Açude de Coimbra),17.3,6.91,33.9,461.0
2026-06-08 03:08:17.673166,19F/01H - Rio Mondego (Açude de Coimbra),18.2,6.21,43.6,221.0
2026-06-09 03:08:17.673166,19F/01H - Rio Mondego (Açude de Coimbra),17.3,6.25,42.8,196.0
2026-06-10 03:08:17.673166,19F/01H - Rio Mondego (Açude de Coimbra),17.3,6.43,38.4,186.0
2026-06-11 03:08:17.673166,19F/01H - Rio Mondego (Açude de Coimbra),18.3,6.41,44.6,257.0
2026-06-12 03:08:17.673166,19F/01H - Rio Mondego (Açude de Coimbra),17.5,6.26,38.7,196.0
2026-06-13 03:08:17.673166,19F/01H - Rio Mondego (Açude de Coimbra),17.4,6.44,53.0,237.0
2026-06-14 03:08:17.673166,19F/01H - Rio Mondego (Açude de Coimbra),18.7,6.53,41.2,124.0
2026-06-15 03:08:17.673166,19F/01H - Rio Mondego (Açude de Coimbra),17.9,6.27,49.0,224.0
2026-06-16 03:08:17.673166,19F/01H - Rio Mondego (Açude de Coimbra),18.7,6.18,46.2,123.0
2026-06-17 03:08:17.673166,19F/01H - Rio Mondego (Açude de Coimbra),18.4,6.24,50.1,128.0
2026-06-18 03:08:17.673166,19F/01H - Rio Mondego (Açude de Coimbra),18.1,6.44,54.7,211.0
2026-06-19 03:08:17.673166,19F/01H - Rio Mondego (Açude de Coimbra),19.3,6.08,56.3,153.0
2026-06-20 03:08:17.673166,19F/01H - Rio Mondego (Açude de Coimbra),18.7,6.42,55.2,129.0
2026-06-21 03:08:17.673166,19F/01H - Rio Mondego (Açude de Coimbra),19.5,6.01,54.0,269.0
2026-06-22 03:08:17.673166,19F/01H - Rio Mondego (Açude de Coimbra),18.6,6.23,45.7,127.0
2026-06-23 03:08:17.673166,19F/01H - Rio Mondego (Açude de Coimbra),19.4,6.14,55.4,136.0
2026-06-24 03:08:17.673166,19F/01H - Rio Mondego (Açude de Coimbra),19.4,5.91,45.6,137.0
2026-06-25 03:08:17.673166,19F/01H - Rio Mondego (Açude de Coimbra),18.7,5.89,52.1,169.0
2026-06-26 03:08:17.673166,19F/01H - Rio Mondego (Açude de Coimbra),19.2,5.25,49.5,138.0
2026-06-27 03:08:17.673166,19F/01H - Rio Mondego (Açude de Coimbra),19.3,5.92,61.8,242.0
2026-06-28 03:08:17.673166,19F/01H - Rio Mondego (Açude de Coimbra),18.8,6.09,61.9,150.0
2026-06-29 03:08:17.673166,19F/01H - Rio Mondego (Açude de Coimbra),19.6,5.72,47.4,191.0
2026-06-30 03:08:17.673166,19F/01H - Rio Mondego (Açude de Coimbra),19.5,5.48,50.5,180.0
2026-07-01 03:08:17.673166,19F/01H - Rio Mondego (Açude de Coimbra),19.2,5.92,50.0,179.0
2026-07-02 03:08:17.673166,19F/01H - Rio Mondego (Açude de Coimbra),19.8,5.64,53.8,142.0
2026-07-03 03:08:17.673166,19F/01H - Rio Mondego (Açude de Coimbra),20.4,6.06,56.5,390.0
2026-07-04 03:08:17.673166,19F/01H - Rio Mondego (Açude de Coimbra),19.5,6.07,58.2,194.0
2026-07-05 03:08:17.673166,19F/01H - Rio Mondego (Açude de Coimbra),19.9,5.55,48.1,155.0
2026-07-06 03:08:17.673166,19F/01H - Rio Mondego (Açude de Coimbra),19.2,6.17,56.2,162.0
2026-07-07 03:08:17.673166,19F/01H - Rio Mondego (Açude de Coimbra),19.4,5.95,59.2,194.0
2026-07-08 03:08:17.673166,19F/01H - Rio Mondego (Açude de Coimbra),19.8,5.38,52.9,172.0
2026-07-09 03:08:17.673166,19F/01H - Rio Mondego (Açude de Coimbra),19.8,5.88,57.0,175.0
2026-07-10 03:08:17.673166,19F/01H - Rio Mondego (Açude de Coimbra),20.1,5.58,54.6,280.0
2026-07-11 03:08:17.673166,19F/01H - Rio Mondego (Açude de Coimbra),20.8,5.6,57.0,254.0
2026-07-12 03:08:17.673166,19F/01H - Rio Mondego (Açude de Coimbra),22.1,5.79,51.5,436.0
2026-07-13 03:08:17.673166,19F/01H - Rio Mondego (Açude de Coimbra),20.7,6.07,55.9,218.0
2026-07-14 03:08:17.673166,19F/01H - Rio Mondego (Açude de Coimbra),20.5,5.47,57.3,124.0
2026-07-15 03:08:17.673166,19F/01H - Rio Mondego (Açude de Coimbra),19.9,6.4,55.2,127.0
2026-07-16 03:08:17.673166,19F/01H - Rio Mondego (Açude de Coimbra),21.2,5.4,58.5,121.0
2026-07-17 03:08:17.673166,19F/01H - Rio Mondego (Açude de Coimbra),18.6,6.17,52.5,137.0
2026-07-18 03:08:17.673166,19F/01H - Rio Mondego (Açude de Coimbra),19.5,6.1,54.5,203.0
2026-07-19 03:08:17.673166,19F/01H - Rio Mondego (Açude de Coimbra),20.3,5.5,53.3,147.0
2026-07-20 03:08:17.673166,19F/01H - Rio Mondego (Açude de Coimbra),21.0,5.8,56.1,240.0
2026-07-21 03:08:17.673166,19F/01H - Rio Mondego (Açude de Coimbra),22.4,5.26,45.6,247.0
2026-07-22 03:08:17.673166,19F/01H - Rio Mondego (Açude de Coimbra),21.1,5.92,60.0,165.0
2026-07-23 03:08:17.673166,19F/01H - Rio Mondego (Açude de Coimbra),20.8,5.52,52.9,148.0
2026-07-24 03:08:17.673166,19F/01H - Rio Mondego (Açude de Coimbra),18.5,6.26,47.7,229.0
