eventDate,scientificName,family,order,decimalLatitude,decimalLongitude,waterBody
2023-01-17,Oligochaeta,,,51.10507,4.32275,Scheldt river basin;ZEESCHELDE III + RUPEL;BEVL17_42
2023-01-17,Corophiidae,Corophiidae,Amphipoda,51.10507,4.32275,Scheldt river basin;ZEESCHELDE III + RUPEL;BEVL17_42
2023-03-20,Oligochaeta,,,51.26784,5.42832,Meuse river basin;DOMMEL;BEVL05_136
2023-03-20,Hydropsychidae,Hydropsychidae,Trichoptera,51.26784,5.42832,Meuse river basin;DOMMEL;BEVL05_136
2023-03-20,Chironomidae,Chironomidae,Diptera,51.23454,5.41966,Meuse river basin;EINDERGATLOOP;BEVL_L107_857
2023-03-20,Hydropsychidae,Hydropsychidae,Trichoptera,51.23454,5.41966,Meuse river basin;EINDERGATLOOP;BEVL_L107_857
2023-03-21,Chironomidae,Chironomidae,Diptera,51.23196,4.87464,Scheldt river basin;GROTE CALIE;BEVL_L107_638
2023-03-21,"Helobdella Blanchard, 1896",Glossiphoniidae,Rhynchobdellida,51.23196,4.87464,Scheldt river basin;GROTE CALIE;BEVL_L107_638
2023-03-21,"Planorbarius Duméril, 1805",Planorbidae,,51.23196,4.87464,Scheldt river basin;GROTE CALIE;BEVL_L107_638
2023-03-20,Oligochaeta,,,51.20409,5.18201,Scheldt river basin;SCHEPPELIJKE NETE;BEVL_L107_705
2023-03-20,Gyrinidae,Gyrinidae,Coleoptera,51.20409,5.18201,Scheldt river basin;SCHEPPELIJKE NETE;BEVL_L107_705
2023-03-20,"Orthetrum Newman, 1833",Libellulidae,Odonata,51.20409,5.18201,Scheldt river basin;SCHEPPELIJKE NETE;BEVL_L107_705
2023-03-29,Anthuridae,Anthuridae,Isopoda,51.14311,4.33057,Scheldt river basin;ZEESCHELDE III + RUPEL;BEVL17_42
2023-03-20,"Glossiphonia Johnson, 1816",Glossiphoniidae,Rhynchobdellida,51.23645,5.38156,Meuse river basin;EINDERGATLOOP;BEVL_L107_857
2023-03-20,Asellidae,Asellidae,Isopoda,51.2106,5.21504,Scheldt river basin;BEVL_L217_4591
2023-03-20,Hydropsychidae,Hydropsychidae,Trichoptera,51.2106,5.21504,Scheldt river basin;BEVL_L217_4591
2023-03-20,Psychomyiidae,Psychomyiidae,Trichoptera,51.2106,5.21504,Scheldt river basin;BEVL_L217_4591
2023-03-20,Empididae,Empididae,Diptera,51.2106,5.21504,Scheldt river basin;BEVL_L217_4591
2023-03-20,"Caenis Stephens, 1835",Caenidae,Ephemeroptera,51.2106,5.21504,Scheldt river basin;BEVL_L217_4591
2023-03-20,"Potamopyrgus W.Stimpson, 1865",Tateidae,Littorinimorpha,51.2106,5.21504,Scheldt river basin;BEVL_L217_4591
2023-03-21,Asellidae,Asellidae,Isopoda,51.29088,4.91094,Scheldt river basin;AA I;BEVL11_120
2023-03-21,Chironomidae,Chironomidae,Diptera,51.20618,4.81964,Scheldt river basin;AA II;BEVL05_121
2023-03-21,Animalia,,,51.20618,4.81964,Scheldt river basin;AA II;BEVL05_121
2023-03-21,Asellidae,Asellidae,Isopoda,51.20618,4.81964,Scheldt river basin;AA II;BEVL05_121
2023-03-21,"Lymnaea Lamarck, 1799",Lymnaeidae,,51.20618,4.81964,Scheldt river basin;AA II;BEVL05_121
2023-03-21,Hydropsychidae,Hydropsychidae,Trichoptera,51.20618,4.81964,Scheldt river basin;AA II;BEVL05_121
2023-03-21,Oligochaeta,,,51.19552,4.76791,Scheldt river basin;BEVL_L217_4721
2023-03-20,"Erpobdella Lamarck, 1818",Erpobdellidae,Arhynchobdellida,51.26784,5.42832,Meuse river basin;DOMMEL;BEVL05_136
2023-03-20,Oligochaeta,,,51.23454,5.41966,Meuse river basin;EINDERGATLOOP;BEVL_L107_857
