Date,Station,Water_Temp_C,Dissolved_Oxygen_mgL,Discharge_m3s,E_Coli_CFU
2026-05-28 03:08:17.707643,NVE 6.38.0 - Akerselva Brekkefossen,10.5,9.54,10.4,110.0
2026-05-29 03:08:17.707643,NVE 6.38.0 - Akerselva Brekkefossen,9.4,9.3,9.5,98.0
2026-05-30 03:08:17.707643,NVE 6.38.0 - Akerselva Brekkefossen,10.8,8.98,6.6,85.0
2026-05-31 03:08:17.707643,NVE 6.38.0 - Akerselva Brekkefossen,9.1,9.51,8.3,118.0
2026-06-01 03:08:17.707643,NVE 6.38.0 - Akerselva Brekkefossen,9.3,9.53,8.3,90.0
2026-06-02 03:08:17.707643,NVE 6.38.0 - Akerselva Brekkefossen,10.9,9.32,10.3,84.0
2026-06-03 03:08:17.707643,NVE 6.38.0 - Akerselva Brekkefossen,10.5,9.36,11.0,97.0
2026-06-04 03:08:17.707643,NVE 6.38.0 - Akerselva Brekkefossen,10.2,9.38,6.7,114.0
2026-06-05 03:08:17.707643,NVE 6.38.0 - Akerselva Brekkefossen,10.0,9.58,12.5,94.0
2026-06-06 03:08:17.707643,NVE 6.38.0 - Akerselva Brekkefossen,9.6,9.57,11.6,84.0
2026-06-07 03:08:17.707643,NVE 6.38.0 - Akerselva Brekkefossen,10.7,9.34,7.3,80.0
2026-06-08 03:08:17.707643,NVE 6.38.0 - Akerselva Brekkefossen,11.9,8.87,9.2,96.0
2026-06-09 03:08:17.707643,NVE 6.38.0 - Akerselva Brekkefossen,11.2,9.15,12.7,332.0
2026-06-10 03:08:17.707643,NVE 6.38.0 - Akerselva Brekkefossen,10.6,8.99,12.6,84.0
2026-06-11 03:08:17.707643,NVE 6.38.0 - Akerselva Brekkefossen,12.4,8.76,11.1,151.0
2026-06-12 03:08:17.707643,NVE 6.38.0 - Akerselva Brekkefossen,10.8,9.14,10.3,157.0
2026-06-13 03:08:17.707643,NVE 6.38.0 - Akerselva Brekkefossen,11.9,8.62,10.3,136.0
2026-06-14 03:08:17.707643,NVE 6.38.0 - Akerselva Brekkefossen,11.7,8.63,10.6,120.0
2026-06-15 03:08:17.707643,NVE 6.38.0 - Akerselva Brekkefossen,11.2,9.23,10.5,178.0
2026-06-16 03:08:17.707643,NVE 6.38.0 - Akerselva Brekkefossen,11.3,8.97,14.5,123.0
2026-06-17 03:08:17.707643,NVE 6.38.0 - Akerselva Brekkefossen,12.9,8.56,10.5,123.0
2026-06-18 03:08:17.707643,NVE 6.38.0 - Akerselva Brekkefossen,11.8,8.93,12.2,104.0
2026-06-19 03:08:17.707643,NVE 6.38.0 - Akerselva Brekkefossen,11.1,9.06,12.1,282.0
2026-06-20 03:08:17.707643,NVE 6.38.0 - Akerselva Brekkefossen,13.0,8.73,12.8,90.0
2026-06-21 03:08:17.707643,NVE 6.38.0 - Akerselva Brekkefossen,11.6,9.12,13.2,111.0
2026-06-22 03:08:17.707643,NVE 6.38.0 - Akerselva Brekkefossen,12.6,8.56,13.7,128.0
2026-06-23 03:08:17.707643,NVE 6.38.0 - Akerselva Brekkefossen,11.3,9.15,13.0,182.0
2026-06-24 03:08:17.707643,NVE 6.38.0 - Akerselva Brekkefossen,12.4,8.95,11.8,101.0
2026-06-25 03:08:17.707643,NVE 6.38.0 - Akerselva Brekkefossen,12.2,8.71,16.6,107.0
2026-06-26 03:08:17.707643,NVE 6.38.0 - Akerselva Brekkefossen,13.5,8.19,12.1,87.0
2026-06-27 03:08:17.707643,NVE 6.38.0 - Akerselva Brekkefossen,12.4,8.83,12.2,99.0
2026-06-28 03:08:17.707643,NVE 6.38.0 - Akerselva Brekkefossen,11.8,8.61,13.7,101.0
2026-06-29 03:08:17.707643,NVE 6.38.0 - Akerselva Brekkefossen,11.9,8.66,13.7,121.0
2026-06-30 03:08:17.707643,NVE 6.38.0 - Akerselva Brekkefossen,13.2,8.61,12.0,103.0
2026-07-01 03:08:17.707643,NVE 6.38.0 - Akerselva Brekkefossen,13.6,8.59,14.7,149.0
2026-07-02 03:08:17.707643,NVE 6.38.0 - Akerselva Brekkefossen,12.3,8.69,13.4,132.0
2026-07-03 03:08:17.707643,NVE 6.38.0 - Akerselva Brekkefossen,13.3,8.35,14.6,109.0
2026-07-04 03:08:17.707643,NVE 6.38.0 - Akerselva Brekkefossen,12.2,8.96,13.7,97.0
2026-07-05 03:08:17.707643,NVE 6.38.0 - Akerselva Brekkefossen,13.8,8.37,13.8,99.0
2026-07-06 03:08:17.707643,NVE 6.38.0 - Akerselva Brekkefossen,13.6,8.52,15.0,160.0
2026-07-07 03:08:17.707643,NVE 6.38.0 - Akerselva Brekkefossen,13.3,8.38,16.4,83.0
2026-07-08 03:08:17.707643,NVE 6.38.0 - Akerselva Brekkefossen,13.3,8.4,15.2,84.0
2026-07-09 03:08:17.707643,NVE 6.38.0 - Akerselva Brekkefossen,13.4,8.36,15.1,93.0
2026-07-10 03:08:17.707643,NVE 6.38.0 - Akerselva Brekkefossen,13.1,8.58,15.8,161.0
2026-07-11 03:08:17.707643,NVE 6.38.0 - Akerselva Brekkefossen,13.5,8.38,12.3,83.0
2026-07-12 03:08:17.707643,NVE 6.38.0 - Akerselva Brekkefossen,13.3,8.05,14.3,99.0
2026-07-13 03:08:17.707643,NVE 6.38.0 - Akerselva Brekkefossen,14.3,8.15,13.4,82.0
2026-07-14 03:08:17.707643,NVE 6.38.0 - Akerselva Brekkefossen,13.7,8.06,13.1,80.0
2026-07-15 03:08:17.707643,NVE 6.38.0 - Akerselva Brekkefossen,13.8,8.27,13.2,102.0
2026-07-16 03:08:17.707643,NVE 6.38.0 - Akerselva Brekkefossen,14.7,8.05,13.2,85.0
2026-07-17 03:08:17.707643,NVE 6.38.0 - Akerselva Brekkefossen,13.5,8.3,18.5,115.0
2026-07-18 03:08:17.707643,NVE 6.38.0 - Akerselva Brekkefossen,14.2,8.03,14.6,152.0
2026-07-19 03:08:17.707643,NVE 6.38.0 - Akerselva Brekkefossen,12.6,8.95,11.5,89.0
2026-07-20 03:08:17.707643,NVE 6.38.0 - Akerselva Brekkefossen,13.5,8.03,15.1,82.0
2026-07-21 03:08:17.707643,NVE 6.38.0 - Akerselva Brekkefossen,14.1,8.62,14.9,139.0
2026-07-22 03:08:17.707643,NVE 6.38.0 - Akerselva Brekkefossen,14.1,8.04,16.0,110.0
2026-07-23 03:08:17.707643,NVE 6.38.0 - Akerselva Brekkefossen,13.0,8.64,15.0,94.0
2026-07-24 03:08:17.707643,NVE 6.38.0 - Akerselva Brekkefossen,14.7,8.34,16.0,82.0
2026-07-25 03:08:17.707643,NVE 6.38.0 - Akerselva Brekkefossen,13.9,8.15,13.0,125.0
2026-07-26 03:08:17.707643,NVE 6.38.0 - Akerselva Brekkefossen,14.2,8.61,16.1,145.0
2026-07-27 03:08:17.707643,NVE 6.38.0 - Akerselva Brekkefossen,14.2,8.31,12.5,134.0
2026-07-28 03:08:17.707643,NVE 6.38.0 - Akerselva Brekkefossen,14.7,8.14,14.1,113.0
2026-07-29 03:08:17.707643,NVE 6.38.0 - Akerselva Brekkefossen,13.3,8.52,14.2,82.0
2026-07-30 03:08:17.707643,NVE 6.38.0 - Akerselva Brekkefossen,12.8,8.41,13.5,94.0
2026-07-31 03:08:17.707643,NVE 6.38.0 - Akerselva Brekkefossen,14.3,8.65,15.0,111.0
2026-08-01 03:08:17.707643,NVE 6.38.0 - Akerselva Brekkefossen,13.6,8.4,12.0,116.0
2026-08-02 03:08:17.707643,NVE 6.38.0 - Akerselva Brekkefossen,13.7,8.5,15.9,81.0
2026-08-03 03:08:17.707643,NVE 6.38.0 - Akerselva Brekkefossen,14.6,8.17,14.3,106.0
2026-08-04 03:08:17.707643,NVE 6.38.0 - Akerselva Brekkefossen,14.3,8.28,12.4,83.0
2026-08-05 03:08:17.707643,NVE 6.38.0 - Akerselva Brekkefossen,13.9,8.3,14.7,92.0
2026-08-06 03:08:17.707643,NVE 6.38.0 - Akerselva Brekkefossen,13.8,8.06,14.6,99.0
2026-08-07 03:08:17.707643,NVE 6.38.0 - Akerselva Brekkefossen,13.8,8.43,13.7,98.0
2026-08-08 03:08:17.707643,NVE 6.38.0 - Akerselva Brekkefossen,13.5,7.96,10.8,123.0
2026-08-09 03:08:17.707643,NVE 6.38.0 - Akerselva Brekkefossen,14.9,7.98,12.6,85.0
2026-08-10 03:08:17.707643,NVE 6.38.0 - Akerselva Brekkefossen,12.9,8.65,11.4,84.0
2026-08-11 03:08:17.707643,NVE 6.38.0 - Akerselva Brekkefossen,13.9,8.4,11.8,98.0
2026-08-12 03:08:17.707643,NVE 6.38.0 - Akerselva Brekkefossen,13.1,8.92,14.4,95.0
2026-08-13 03:08:17.707643,NVE 6.38.0 - Akerselva Brekkefossen,13.1,8.33,11.4,109.0
2026-08-14 03:08:17.707643,NVE 6.38.0 - Akerselva Brekkefossen,14.5,8.12,6.6,193.0
2026-08-15 03:08:17.707643,NVE 6.38.0 - Akerselva Brekkefossen,13.3,8.61,11.8,152.0
2026-08-16 03:08:17.707643,NVE 6.38.0 - Akerselva Brekkefossen,12.8,8.37,12.1,94.0
2026-08-17 03:08:17.707643,NVE 6.38.0 - Akerselva Brekkefossen,13.1,8.27,8.7,80.0
2026-08-18 03:08:17.707643,NVE 6.38.0 - Akerselva Brekkefossen,13.7,8.77,8.4,99.0
2026-08-19 03:08:17.707643,NVE 6.38.0 - Akerselva Brekkefossen,12.7,8.59,10.4,132.0
2026-08-20 03:08:17.707643,NVE 6.38.0 - Akerselva Brekkefossen,13.1,8.88,10.1,127.0
2026-08-21 03:08:17.707643,NVE 6.38.0 - Akerselva Brekkefossen,13.5,8.49,9.9,212.0
2026-08-22 03:08:17.707643,NVE 6.38.0 - Akerselva Brekkefossen,12.4,8.71,11.3,86.0
2026-08-23 03:08:17.707643,NVE 6.38.0 - Akerselva Brekkefossen,14.2,8.23,7.2,98.0
2026-08-24 03:08:17.707643,NVE 6.38.0 - Akerselva Brekkefossen,13.0,8.92,11.0,103.0
2026-08-25 03:08:17.707643,NVE 6.38.0 - Akerselva Brekkefossen,12.6,8.7,11.2,135.0
2026-08-26 03:08:17.707643,NVE 6.38.0 - Akerselva Brekkefossen,12.8,8.67,7.8,106.0
2026-08-27 03:08:17.707643,NVE 6.38.0 - Akerselva Brekkefossen,13.8,8.25,7.2,125.0
2026-08-28 03:08:17.707643,NVE 6.38.0 - Akerselva Brekkefossen,12.9,8.6,8.5,89.0
2026-08-29 03:08:17.707643,NVE 6.38.0 - Akerselva Brekkefossen,13.2,8.68,9.0,89.0
2026-08-30 03:08:17.707643,NVE 6.38.0 - Akerselva Brekkefossen,11.7,9.14,10.4,92.0
2026-08-31 03:08:17.707643,NVE 6.38.0 - Akerselva Brekkefossen,13.1,8.61,9.8,95.0
2026-09-01 03:08:17.707643,NVE 6.38.0 - Akerselva Brekkefossen,12.7,8.61,8.2,80.0
2026-09-02 03:08:17.707643,NVE 6.38.0 - Akerselva Brekkefossen,12.3,8.83,11.1,81.0
2026-09-03 03:08:17.707643,NVE 6.38.0 - Akerselva Brekkefossen,12.5,9.02,10.6,157.0
2026-09-04 03:08:17.707643,NVE 6.38.0 - Akerselva Brekkefossen,13.0,8.51,6.3,104.0
