code_station,libelle_station,date_prelevement,code_parametre,libelle_parametre,resultat,symbole_unite,longitude,latitude
BF000003,CLAIRFONT,2021-01-12,1340,Nitrates,7.0,mg/L,1.401312906,43.530994507
BF000003,CLAIRFONT,2021-01-12,1350,Phosphore total,0.0,mg(P2O5)/L,1.401312906,43.530994507
BF000003,CLAIRFONT,2021-01-12,1303,Conductivité à 25°C,269.0,µS/cm,1.401312906,43.530994507
BF000002,PECH DAVID,2021-01-19,1340,Nitrates,7.0,mg/L,1.419491118,43.60934733
BF000002,PECH DAVID,2021-01-19,1303,Conductivité à 25°C,327.0,µS/cm,1.419491118,43.60934733
BF000002,PECH DAVID,2021-01-19,1350,Phosphore total,0.0,mg(P2O5)/L,1.419491118,43.60934733
05157620,L'Hers Mort à Baziège,2021-01-20,1301,Température de l'Eau,6.0,°C,1.626100838,43.440743027
05157370,L'Hers-Mort à Escalquens (amont STEP),2021-01-20,1302,Potentiel en Hydrogène (pH),8.4,unité pH,1.525600828,43.521937863
05157620,L'Hers Mort à Baziège,2021-01-20,1350,Phosphore total,0.07,mg(P)/L,1.626100838,43.440743027
05157365,L'Hers-Mort à Labège,2021-01-20,1303,Conductivité à 25°C,739.0,µS/cm,1.520269008,43.526814586
05157359,"L'Hers-Mort à Toulouse, au Palays (amont STEP)",2021-01-20,1340,Nitrates,39.0,mg(NO3)/L,1.495631746,43.554732351
05157400,Le ruisseau des Rosiers au niveau de Deyme,2021-01-20,1301,Température de l'Eau,7.0,°C,1.547652354,43.492000071
05157350,"L'Hers-Mort à Toulouse, au Palays (aval STEP)",2021-01-20,1350,Phosphore total,0.09,mg(P)/L,1.495375521,43.55553871
05157365,L'Hers-Mort à Labège,2021-01-20,1302,Potentiel en Hydrogène (pH),8.3,unité pH,1.520269008,43.526814586
05157365,L'Hers-Mort à Labège,2021-01-20,1340,Nitrates,38.0,mg(NO3)/L,1.520269008,43.526814586
05157590,Le ruisseau des Mals au niveau de Baziège,2021-01-20,1350,Phosphore total,0.03,mg(P)/L,1.61585843,43.446101464
05157590,Le ruisseau des Mals au niveau de Baziège,2021-01-20,1302,Potentiel en Hydrogène (pH),8.3,unité pH,1.61585843,43.446101464
05157361,Le ruisseau du Tricou au niveau de Labège,2021-01-20,1301,Température de l'Eau,8.0,°C,1.527200635,43.53140827
05157590,Le ruisseau des Mals au niveau de Baziège,2021-01-20,1301,Température de l'Eau,6.0,°C,1.61585843,43.446101464
05157359,"L'Hers-Mort à Toulouse, au Palays (amont STEP)",2021-01-20,1302,Potentiel en Hydrogène (pH),8.4,unité pH,1.495631746,43.554732351
05157620,L'Hers Mort à Baziège,2021-01-20,1303,Conductivité à 25°C,711.0,µS/cm,1.626100838,43.440743027
05157369,L'Hers-Mort à Labège (aval STEP),2021-01-20,1302,Potentiel en Hydrogène (pH),8.4,unité pH,1.524675303,43.522825154
05157620,L'Hers Mort à Baziège,2021-01-20,1340,Nitrates,41.0,mg(NO3)/L,1.626100838,43.440743027
05157350,"L'Hers-Mort à Toulouse, au Palays (aval STEP)",2021-01-20,1301,Température de l'Eau,6.0,°C,1.495375521,43.55553871
05157540,L'Hers-Mort au niveau de Montgiscard,2021-01-20,1303,Conductivité à 25°C,727.0,µS/cm,1.581341738,43.465091122
05157362,Le ruisseau d'Escalquens au niveau d'Escalquens,2021-01-20,1303,Conductivité à 25°C,737.0,µS/cm,1.533741923,43.521778225
05157350,"L'Hers-Mort à Toulouse, au Palays (aval STEP)",2021-01-20,1303,Conductivité à 25°C,757.0,µS/cm,1.495375521,43.55553871
05157369,L'Hers-Mort à Labège (aval STEP),2021-01-20,1340,Nitrates,41.0,mg(NO3)/L,1.524675303,43.522825154
05157369,L'Hers-Mort à Labège (aval STEP),2021-01-20,1350,Phosphore total,0.08,mg(P)/L,1.524675303,43.522825154
05157359,"L'Hers-Mort à Toulouse, au Palays (amont STEP)",2021-01-20,1350,Phosphore total,0.1,mg(P)/L,1.495631746,43.554732351
05157595,L'Hers Mort à Baziège (aval conf Rau Visenc),2021-01-20,1350,Phosphore total,0.07,mg(P)/L,1.62361137,43.442601011
05157400,Le ruisseau des Rosiers au niveau de Deyme,2021-01-20,1303,Conductivité à 25°C,857.0,µS/cm,1.547652354,43.492000071
05157362,Le ruisseau d'Escalquens au niveau d'Escalquens,2021-01-20,1302,Potentiel en Hydrogène (pH),8.4,unité pH,1.533741923,43.521778225
05157540,L'Hers-Mort au niveau de Montgiscard,2021-01-20,1302,Potentiel en Hydrogène (pH),8.4,unité pH,1.581341738,43.465091122
05157365,L'Hers-Mort à Labège,2021-01-20,1350,Phosphore total,0.1,mg(P)/L,1.520269008,43.526814586
05157361,Le ruisseau du Tricou au niveau de Labège,2021-01-20,1302,Potentiel en Hydrogène (pH),8.5,unité pH,1.527200635,43.53140827
05157370,L'Hers-Mort à Escalquens (amont STEP),2021-01-20,1303,Conductivité à 25°C,738.0,µS/cm,1.525600828,43.521937863
05157369,L'Hers-Mort à Labège (aval STEP),2021-01-20,1301,Température de l'Eau,6.0,°C,1.524675303,43.522825154
05157359,"L'Hers-Mort à Toulouse, au Palays (amont STEP)",2021-01-20,1301,Température de l'Eau,6.0,°C,1.495631746,43.554732351
05157370,L'Hers-Mort à Escalquens (amont STEP),2021-01-20,1301,Température de l'Eau,6.0,°C,1.525600828,43.521937863
05157359,"L'Hers-Mort à Toulouse, au Palays (amont STEP)",2021-01-20,1303,Conductivité à 25°C,443.0,µS/cm,1.495631746,43.554732351
05157540,L'Hers-Mort au niveau de Montgiscard,2021-01-20,1301,Température de l'Eau,6.0,°C,1.581341738,43.465091122
05157369,L'Hers-Mort à Labège (aval STEP),2021-01-20,1303,Conductivité à 25°C,727.0,µS/cm,1.524675303,43.522825154
05157540,L'Hers-Mort au niveau de Montgiscard,2021-01-20,1340,Nitrates,40.0,mg(NO3)/L,1.581341738,43.465091122
05157361,Le ruisseau du Tricou au niveau de Labège,2021-01-20,1340,Nitrates,22.0,mg(NO3)/L,1.527200635,43.53140827
05157400,Le ruisseau des Rosiers au niveau de Deyme,2021-01-20,1302,Potentiel en Hydrogène (pH),8.3,unité pH,1.547652354,43.492000071
05157361,Le ruisseau du Tricou au niveau de Labège,2021-01-20,1303,Conductivité à 25°C,855.0,µS/cm,1.527200635,43.53140827
05157350,"L'Hers-Mort à Toulouse, au Palays (aval STEP)",2021-01-20,1340,Nitrates,39.0,mg(NO3)/L,1.495375521,43.55553871
05157370,L'Hers-Mort à Escalquens (amont STEP),2021-01-20,1350,Phosphore total,0.06,mg(P)/L,1.525600828,43.521937863
05157590,Le ruisseau des Mals au niveau de Baziège,2021-01-20,1303,Conductivité à 25°C,865.0,µS/cm,1.61585843,43.446101464
05157595,L'Hers Mort à Baziège (aval conf Rau Visenc),2021-01-20,1302,Potentiel en Hydrogène (pH),8.4,unité pH,1.62361137,43.442601011
05157365,L'Hers-Mort à Labège,2021-01-20,1301,Température de l'Eau,6.0,°C,1.520269008,43.526814586
05157400,Le ruisseau des Rosiers au niveau de Deyme,2021-01-20,1340,Nitrates,27.0,mg(NO3)/L,1.547652354,43.492000071
05157620,L'Hers Mort à Baziège,2021-01-20,1302,Potentiel en Hydrogène (pH),8.3,unité pH,1.626100838,43.440743027
05157540,L'Hers-Mort au niveau de Montgiscard,2021-01-20,1350,Phosphore total,0.07,mg(P)/L,1.581341738,43.465091122
05157595,L'Hers Mort à Baziège (aval conf Rau Visenc),2021-01-20,1340,Nitrates,41.0,mg(NO3)/L,1.62361137,43.442601011
05157595,L'Hers Mort à Baziège (aval conf Rau Visenc),2021-01-20,1301,Température de l'Eau,6.0,°C,1.62361137,43.442601011
05157590,Le ruisseau des Mals au niveau de Baziège,2021-01-20,1340,Nitrates,39.0,mg(NO3)/L,1.61585843,43.446101464
05157362,Le ruisseau d'Escalquens au niveau d'Escalquens,2021-01-20,1350,Phosphore total,0.04,mg(P)/L,1.533741923,43.521778225
05157362,Le ruisseau d'Escalquens au niveau d'Escalquens,2021-01-20,1340,Nitrates,27.0,mg(NO3)/L,1.533741923,43.521778225
05157370,L'Hers-Mort à Escalquens (amont STEP),2021-01-20,1340,Nitrates,40.0,mg(NO3)/L,1.525600828,43.521937863
05157362,Le ruisseau d'Escalquens au niveau d'Escalquens,2021-01-20,1301,Température de l'Eau,7.0,°C,1.533741923,43.521778225
05157350,"L'Hers-Mort à Toulouse, au Palays (aval STEP)",2021-01-20,1302,Potentiel en Hydrogène (pH),8.4,unité pH,1.495375521,43.55553871
